n,query,,answer,source
11,How to start a call in Microsoft Teams,I want to make a call in microsoft teams,"There are many ways to make a call in Teams
Wherever you are in Teams, you can start a call with someone (or a group of people). Here are some of the ways:

Make or answer a call from anywhere
Select either Video call or Audio call. Any call can be a video call or an audio-only call. It's always up to you. 
Answering a call is simple too. Just select Video call or Audio call when prompted. When someone calls you, you'll get a notification that lets you accept or decline the call.

Turn a chat into a call
With one click, you can make any chat into a call in Teams. When you're in a chat, select Video call or Audio cal in the upper-right corner of Teams. The person you are chatting with (or the people, if it's a group chat) will receive a call from you.  

Make a call from your call history, speed dial, voicemail, or contacts
Access your call history and quickly call anyone back from the list. Go to Calls and review the History section in the center of the screen. Select any item from the list and then choose Call in the Details section on the right side of Teams.
From your speed dial, you can quickly call people that you previously saved to this list. To access your speed dial, go to Calls and then find the Speed dial section on the right side of Teams.
From your voicemail, you can quickly call back anyone who left a message. To access your voicemail, go to History and select the Voicemail button in the upper-right corner. You can call someone back from your voicemail by selecting More actions next to their name > Call back from the call history list, or by clicking Call under the contact details.

To view your contacts, click Calls > Contacts in the upper-left of Teams. From here, you can call anyone by selecting Call to the right of their name.",https://support.microsoft.com/en-us/office/first-things-to-know-about-calls-in-microsoft-teams-2b883a81-dd15-41bd-a6ba-39deef141027
12,How to schedule a microsoft teams meeting,I want to schedule a meeting in microsoft teams,"There are several ways to schedule a meeting in Teams:
Select Schedule a meeting in a chat (below the box where you type a new message) to book a meeting with the people in the chat.
Go to Calendar on the left side of the app and select New meeting in the top right corner. Select a range of time in the calendar. A scheduling form will pop open.
The scheduling form is where you'll give your meeting a title, invite people, and add meeting details. Use the Scheduling Assistant to find a time that works for everyone.
Once you're done filling out the details, select Save. This will close the scheduling form and send an invite to everyone's Outlook inbox.",https://support.microsoft.com/en-us/office/schedule-a-meeting-in-teams-943507a9-8583-4c58-b5d2-8ec8265e04e5
13,How to invite people outside your organization to your microsoft teams meeting,I want to invite people to my microsoft teams meeting,"Teams lets you invite people outside your organization, including those who don't have a Teams license. You'll need their full email address to invite them.
Go to where it says Add required attendees. If anyone is an optional attendee, select Optional instead.
Type the person's full email address (ex: Joe@example.com).
Select Invite. They'll receive an email with a link to the meeting.",https://support.microsoft.com/en-us/office/schedule-a-meeting-in-teams-943507a9-8583-4c58-b5d2-8ec8265e04e5
14,How to start an instant meeting in microsoft teams,I want to start a new meeting in microsoft teams,"Go to Calendar on the left side of Teams, then select Meet now in the upper right corner.
You'll have a chance to set a few things up before you start your meeting. Give it a title, choose whether you want to use video, and pick your preferred audio source.
When you're ready, hit Join now.
Your meeting is now up and running—you just need people to join you. 

To invite people:
Start typing the name or phone number of someone you want to invite in the box under People in the top right. Select them when they appear in the list, and they'll get a call right away
Another option is to copy the meeting link and send it to anyone you want to meet with, and they can join by selecting it. Just choose Copy join info and paste the link in a message.",https://support.microsoft.com/en-us/office/start-an-instant-meeting-in-teams-ff95e53f-8231-4739-87fa-00b9723f4ef5
15,How to share your screen in microsoft teams,I want to share content in microsoft teams,"To share your screen in a meeting, select Share content in your meeting controls. Then, choose to present your entire screen, a window, a PowerPoint file, or a whiteboard.
To share sound, select Include computer sound (it's the switch on the top right of your sharing options). All sound from your computer, including notifications, will be audible in the meeting.
Notes: 
- If you're using Teams on the web, you'll be able to share your screen only if you're using Google Chrome or the latest version of Microsoft Edge.
- If you're using a Mac, you'll need to grant permission to Teams to record your computer's screen before you can share. 
You'll be prompted to grant permission the first time you try to share your screen. Select Open System Preferences from the prompt.
If you miss the prompt, you can do this anytime by going to Apple Menu > System Preferences > Security & Privacy.
Under Screen Recording, make sure Microsoft Teams is selected.
Go back to your meeting and try sharing your screen again.

Note: If you're using Teams on the web, make sure you've also granted screen recording permission to your browser.",https://support.microsoft.com/en-us/office/share-content-in-a-meeting-in-teams-fcc2bf59-aecd-4481-8f99-ce55dd836ce8
16,How to enable live captions in microsoft teams,I want to see captions when someon is speaking in microsoft teams,"Teams can detect what’s said in a meeting and present real-time captions. And, if you've turned on the new meeting experience, your captions will include speaker attribution—so you'll see not only what's being said, but who's saying it. 

To use live captions in a meeting, go to your meeting controls and select More options > Turn on live captions.
To stop using live captions, go to the meeting controls and select More options > Turn off live captions.
Notes: 
Captions are available only in English (US) for now.
People can choose to not be identified in captions.",https://support.microsoft.com/en-us/office/meetings-and-calls-d92432d5-dd0f-4d17-8f69-06096b6b48a8?ui=en-US&rs=en-US&ad=US#ID0EAABAAA=Meetings
17,How to record a microsoft teams meeting,I want to record a meeting in microsoft teams,"To start recording, go to the meeting controls and select More options > Start recording and transcription.
Everyone in the meeting is notified that recording and transcription has started. The meeting notification is also posted to the chat history.
Notes: 
You can't make multiple recordings of the same meeting at the same time. If one person starts recording a meeting, that recording will be stored on the cloud and available to all participants.
Meeting participants have the option of viewing the transcription during the meeting.

To stop recording, go to the meeting controls and select More options > Stop recording and transcription.
The recording is then processed and saved to SharePoint if it was a channel meeting, or OneDrive if it was any other type of meeting. 
The meeting recording shows up in the meeting chat—or in the channel conversation, if you’re meeting in a channel. The recording doesn't expire.",https://support.microsoft.com/en-us/office/record-a-meeting-in-teams-34dfbe7f-b07d-4a27-b4c6-de62f1348c24
18,How to create breakout rooms in microsoft teams,I want to create breakout rooms in microsoft teams,"Start the meeting.
In the meeting controls, select Breakout rooms.
Select the number of rooms you want (50 max), and whether you want Teams to assign people to rooms (Automatically) or you want to choose the people for each room yourself (Manually).
Note: This is the only time you can choose to have people automatically assigned to breakout rooms. You won't be able to change this option later in the meeting.
Select Create Rooms.",https://support.microsoft.com/en-us/office/use-breakout-rooms-in-teams-meetings-7de1f48a-da07-466c-a5ab-4ebace28e461
19,How to assign people to breakout rooms in microsoft teams,I want to assign participants to breakout rooms in microsoft teams,"Select Assign participants.
Choose the people who will share a breakout room by selecting the check boxes next to their names.
Select Assign and then select a room for those people.
Repeat steps the previous two steps until everyone has been assigned to a room.",https://support.microsoft.com/en-us/office/use-breakout-rooms-in-teams-meetings-7de1f48a-da07-466c-a5ab-4ebace28e461
20,How to screen share from iPad or iPhone to zoom on computer,I want to share screen on my iphone or ipad in zoom,"In the meeting controls, tap Share Content. The meeting controls will be at the bottom of your screen on an iPhone and the top right of your screen on an iPad.
Tap Screen. Then, swipe left on the instructions to see the Broadcast to Zoom instructions.
Access the Control Center.
- On iPhone 8 or older or iPads running iOS 11, swipe up from the bottom.
- On iPhone X or iPads running iOS 12, swipe down from the top right. 
Hold down on the record button until the Screen Recording option appears.
Then, tap Zoom > Start Broadcast.
After a count of 3, your entire device screen will be shared into the meeting.
Tap the red bar at the top of your screen when you are ready to end the share. Tap Stop. 
Tap the red bar again to open Zoom.","https://support.zoom.us/hc/en-us/articles/115005890803-iOS-Screen-Sharing#:~:text=Hold%20down%20on%20the%20record,be%20shared%20into%20the%20meeting."
21,How to change my background on WebEx,I want to change my video background in cisco webex,"Before You Join
Click Change Background and then do one of the following:
- To blur your surroundings while remaining in focus, click Blur.
- To use a default virtual background, click the one you want.
- To use your own image for the virtual background, tap the + icon.
It is recommended that you use an image that's 1280 × 720 pixels in size or larger. Images must be in the .jpg or .png format.

During a Meeting
In your self-view window, click the Video options icon, choose Change Virtual Background, and do one of the following:
- To blur your surroundings while remaining in focus, click Blur.
- To use a default virtual background, click the one you want.
- To use your own image for the virtual background, tap the + icon.
When you're ready for everyone in the meeting to see your background, click Apply. Webex remembers your selection for your next meeting.",https://help.webex.com/en-us/80jduab/Use-a-Virtual-Background-in-the-Cisco-Webex-Meetings-Suite
22,How to share screen in cisco WebEx,I want to share content in cisco webex,"To share content during a meeting, from the meeting control panel, select Share.
Select which window you want to share.
Go to the Share menu for more sharing options.",https://help.webex.com/en-us/n62wi3c/Get-Started-with-Cisco-Webex-Meetings-for-Attendees
23,How to record a cisco WebEx meeting,I want to record a meeting in cisco webex,"While in your meeting, click Record, and then Record to record right away. You and your participants see a red icon at the top right of your window when recording is in process.
When the meeting ends, you can find your recording on the Recordings > My Recorded Meetings page of your Webex site. If you recorded in the cloud, when the meeting ends, you receive an email with the recording link. Depending on file size and bandwidth, it can take up to 24 hours to receive your recording.",https://help.webex.com/en-us/nrebr3c/Get-Started-with-Cisco-Webex-Meetings-for-Hosts
24,How to start a group conversation in Google Hangouts,I want to create a group chat in google hangouts,"Go to hangouts.google.com or open classic Hangouts in Gmail.
Click New conversation Add to playlist  and then New group .
Enter the names or email addresses of the people you want to add and click Done .
Optional: Name your group.",https://support.google.com/hangouts/answer/3111943?hl=en&ref_topic=6386410
25,How to start a group call in a group message in google hangouts,I want to start a group vall in google hangouts,"Go to hangouts.google.com or open the app from the sidebar in Gmail.
Select a group to call from the Hangouts list or create a new group. 
At the top left of the group message window, click Video call .
Hangouts automatically adds a Meet link to your message. Click Send  to share the link and invite the group to the Google Meet video call.",https://support.google.com/hangouts/answer/3111943?hl=en&ref_topic=6386410
26,How to add a person to a hangouts group,I want to add someone to my google hangouts group,"When someone is added to a group, they can access past messages in the conversation. 
Go to hangouts.google.com or open Hangouts in Gmail.
Select a group conversation.
Click People People.
At the bottom, click Add people. 
Type the name or email address of the person you want to add.
Click Add people.",https://support.google.com/hangouts/answer/3111943?hl=en&ref_topic=6386410#zippy=%2Cadd-people-to-a-conversation
27,Is zoom free to use,What are the zoom payment options,"There are 3 types of users:
Basic: A basic user is a user without a paid license. Basic users can be on Basic (free) plans, as well as paid plans such as Pro or Business. A basic user on a Basic plan can host meetings with up to 100 participants. A basic user on a paid account inherits the account's default meeting capacity, such as a Business account's default meeting capacity of 300. If 3 or more participants join, the meeting will time out after 40 minutes. They cannot utilize user and account add-ons such as large meeting, webinar, or conference room connector.

Licensed: A licensed user is a paid account user who can host unlimited meetings on the public cloud. By default, they can host meetings with up to 100 participants and large meeting licenses are available for additional capacity. Licensed users have these additional features available:
- Customize Personal Meeting ID
- Record to the Zoom cloud
- Be an alternative host
- Assign others to schedule and schedule on behalf of
- Utilize account add-ons such as conference room connector
- Be assigned user add-ons such as large meeting, webinar, or personal audio conference
- Customize Personal Link, if on a business or education account

On-prem: An on-prem user is a paid account who can host unlimited meetings with the on-premise meeting connector. On-prem users have these additional features:
- Customize Personal Meeting ID
- Use the recording connector, if configured for their account
- Be an alternative host
- Assign others to schedule and schedule on behalf of
- Utilize account add-ons such as room connector
- Be assigned user add-ons such as large meeting, webinar, or personal audio conference
- Customize Personal Link, if on a business or education account

You can find your user type on your profile page. If you are an admin or account owner, you can view user types for all users under your account on the User Management page. ",https://support.zoom.us/hc/en-us/articles/201363173-Account-types
28,Is microsoft teams free,Do you have to pay for microsoft teams,"Yes! The free version of Teams includes the following:
- Unlimited chat messages and search.
- Built-in online meetings and audio and video calling for individuals and groups, with a duration of up to 60 minutes per meeting or call. For a limited time, you can meet for up to 24 hours.
- 10 GB of team file storage plus 2 GB per person for personal storage.
- Integrated, real-time content creation with Office apps like Word, Excel, PowerPoint, and OneNote.
- Unlimited app integrations with more than 650 business apps to choose from, including Adobe Sign, Evernote, and Trello.
- Ability to communicate and collaborate with anyone inside or outside your organization, backed by Microsoft’s secure, global infrastructure.","https://www.microsoft.com/en-us/microsoft-teams/free#:~:text=Is%20Microsoft%20Teams%20really%20free,Unlimited%20chat%20messages%20and%20search."
29,Is Cisco Webex free,Do you have to pay to use Cisco Webex,"Cisco Webex has a free version that comes with the following features:
- 1 host
- Up to 50 min meeting time
- Up to 100 participants
- Screen sharing
- Support for iPhone, iPad, Android, and wearable devices
- Meeting Scheduling
- Meeting Recording
- Breakout sessions
- Lock personal meeting rooms
- End-to-end encryption option",https://www.webex.com/pricing/index.html
30,How to show my profile picture when my video is off in zoom,I want my profile picture to show when my video is off in zoom,"If you are already in a Zoom meeting, right-click on your video preview screen. Choose Add or Edit Profile Picture from the menu. Stop the video, and you will see your picture.",https://www.guidingtech.com/show-profile-picture-instead-video-zoom-meeting/
31,What are the zoom keyboard shortcuts,I want to edit keyboard shortcuts in zoom,"You can view and edit keyboard shortcuts in your Keyboard Shortcuts settings.
Sign in to the Zoom desktop client.
Click your profile picture then click Settings.
Click Keyboard Shortcuts.
The keyboard shortcuts will appear.

Editing shortcuts
You can edit a shortcut by clicking on the shortcut and then pressing the shortcut key that you would like to use. 
Some of the shortcuts can be used as global shortcuts, meaning they will work even when Zoom is not in focus. To enable a shortcut globally, check the option next to the shortcut.",https://support.zoom.us/hc/en-us/articles/205683899-hot-keys-and-keyboard-for-zoom
32,How to use dark mode in zoom,I want to use zoom dark mode on my windows or mac,"Zoom dark mode for Windows
The Zoom desktop app doesn't offer dark mode, but you can force dark mode if you join a Zoom meeting using Chrome. To give it a try, visit chrome://flags/#enable-force-dark and choose one of the non-default options. Select 'Enabled with selected inversion of everything'. Save any work in other browser tabs and click 'Re-launch' to activate the change'.
To reverse the change, simply go back to chrome://flags/#enable-force-dark and change the setting back to 'Default', then re-launch the browser.

Zoom dark mode for macOS
The Zoom app for macOS respects your operating system's settings, so to activate dark mode you can simply open your system preferences, select 'General' and select the 'Dark' appearance option. This will change the look of your whole OS, and all supported apps.
To reverse the change and return macOS to its previous look, simply repeat the process and select the 'Light' appearance option.","https://www.techradar.com/how-to/zoom-dark-mode#:~:text=Zoom%20dark%20mode%20for%20Windows,with%20selected%20inversion%20of%20everything'."
33,How do I download Zoom,I want to download Zoom,Visit the Zoom download portal and download the necessary version of Zoom: https://zoom.us/download,https://zoom.us/download
34,Is Zoom free,Do I have to pay for Zoom,Zoom's basic free version is available free of charge,https://www.techradar.com/news/what-is-zoom-how-does-it-work-tips-and-tricks-plus-best-alternatives
35,How do I start a Zoom meeting,I want to start a Zoom meeting,"In the Zoom desktop client, under the home tab, click new meeting",https://support.zoom.us/hc/en-us/articles/201362613-How-do-I-host-a-video-meeting-
36,How can I share my Zoom invite,I want to share my Zoom invite,Click Copy Invite Link or Copy Invitation if you want to send your instant meeting information elsewhere.,https://support.zoom.us/hc/en-us/articles/201362183-How-do-I-invite-others-to-join-a-meeting-
37,How can I update Zoom,I want to update Zoom,"In the Zoom desktop client, click your profile picture then click Check for Updates",https://support.zoom.us/hc/en-us/articles/201362233-Where-Do-I-Download-The-Latest-Version-
38,What version of Zoom am I running,I want to see what version of Zoom I am running,"In the Zoom desktop client, click your profile picture then click Check for Updates",https://support.zoom.us/hc/en-us/articles/201362233-Where-Do-I-Download-The-Latest-Version-
39,Is there reactions in Zoom,I want to react in Zoom,"To react during a meeting, simply click/tap on the ‘Reactions’ button and hit either of the emojis. The selected emoji will be shown at the top-left corner of your Zoom client (PC).",https://nerdschalk.com/how-to-react-with-emojis-on-zoom/
40,How do I chat with members in my Zoom,I want to use the chat in Zoom,"While in a Zoom meeting, click Chat in the meeting controls, this will open the chat window. You can type a message into the chat box",https://support.zoom.us/hc/en-us/articles/203650445-In-meeting-chat
41,How can I send a private message in Zoom,I want to send a private message in Zoom,"While in a Zoom meeting, click Chat in the meeting controls, this will open the chat window. You can type a message into the chat box or click on the drop down next to To: if you want to send a message to a specific person.",https://support.zoom.us/hc/en-us/articles/203650445-In-meeting-chat
42,How can I mute myself in a Zoom,I want to mute myself in Zoom,"To mute yourself, click the Mute button (microphone). A red slash will appear over the microphone icon indicating that your audio is now off.",https://itld.psu.edu/training/participating-zoom-meeting-quick-start-guide
43,How can I turn on my camera in a Zoom,I want to turn on my camera in Zoom,Click the Start Video button in the menu bar at the bottom of the window to begin your video stream.,https://itld.psu.edu/training/participating-zoom-meeting-quick-start-guide
44,How can I change my view of other Zoom participants,I want to change the view in Zoom,"Within a Zoom meeting, click View in the top-right corner, and then select Speaker or Gallery",https://support.zoom.us/hc/en-us/articles/201362323-Changing-the-video-layout-Speaker-view-and-Gallery-view-#h_01EF2V8EACKNQ0R96A2WJMPSC2
45,How to share my screen in Zoom,I want to share my screen in Zoom,Click the Share Screen button located in your meeting controls and select your desired option,https://support.zoom.us/hc/en-us/articles/201362153-Sharing-your-screen-content-or-second-camera
46,How can I assign the host to someone else in Zoom,I want to change my Zoom's host,"As host in Zoom desktop client, click end in host controls, click leave meeting, and then assign someone to be the new host, then clicking assign and leave",https://support.zoom.us/hc/en-us/articles/201362573-Pass-Host-Controls-and-Leave-the-Meeting
47,How do I pin a participant in Zoom,I want to pin a participant in Zoom,"Hover over the video of a participant and from the menu, click Pin",https://support.zoom.us/hc/en-us/articles/201362743-Pinning-participants-videos
48,How to mute participants in my Zoom meeting,I want to mute participants in Zoom,"Click participants in meeting controls, then click mute all",https://support.zoom.us/hc/en-us/articles/203435537-Muting-and-unmuting-participants-in-a-meeting
49,How do I make a poll in Zoom,I want to make a poll in Zoom,"If polls is enabled within your Zoom settings, select Poll in the meeting controls and customize accordingly",https://support.zoom.us/hc/en-us/articles/213756303-Polling-for-meetings
50,How do I join a Microsoft Teams meeting,I want to join a Microsoft Teams meeting,"Go to the meeting invite and select Join Microsoft Teams Meeting, that'll open a web page, where you'll see two choices: Download the Windows app and Join on the web instead. If you join on the web, you can use either Microsoft Edge or Google Chrome. Your browser may ask if it's okay for Teams to use your mic and camera. Be sure to allow it so you'll be seen and heard in your meeting.  Enter your name and choose your audio and video settings. If the meeting room (or another device that's connected to the meeting) is nearby, choose Audio off to avoid disrupting. Select Phone audio if you want to listen to the meeting on your mobile phone.  Then select join now, where you will be admitted to the meeting lobby.",https://support.microsoft.com/en-us/office/join-a-meeting-without-a-teams-account-c6efc38f-4e03-4e79-b28f-e65a4c039508
51,How do I unmute in Microsoft Teams,I want to unmute myself in Microsoft Teams,"To unmute yourself, click on the Microphone Icon again (make sure there is not a slash through the microphone)",https://tcsp360.com/blog/how-to/how-to-mute-unmute-yourself-in-a-microsoft-teams-meeting/
52,How do I turn on my camera in Microsoft Teams,I want to turn on my camera in Microsoft Teams,"To turn on your video before a meeting, just select Camera right before you join.",https://support.microsoft.com/en-us/office/using-video-in-microsoft-teams-3647fc29-7b92-4c26-8c2d-8a596904cdae
53,Can I share my screen in Microsoft Teams,I want to share my camera in Microsoft Teams,"Select Share content and choose if you want to share your computer audio, then select what content you would like to share.",https://support.microsoft.com/en-us/office/show-your-screen-during-a-meeting-90c84e5a-b6fe-4ed4-9687-5923d230d3a7
54,Can I use Zoom from a mobile device,I want to use Zoom on a mobile device,You can use Zoom to participate in or host video meetings on your computer or mobile device.,https://www.businessinsider.com/how-to-use-zoom
55,Where can I download Microsoft Teams,I want to download Microsoft Teams,"Select what version of Teams you would like to download from: 
https://www.microsoft.com/en-us/microsoft-teams/download-app",https://www.microsoft.com/en-us/microsoft-teams/download-app
56,How can I make contacts in Zoom,I want to add a contact in Zoom,"From the Zoom desktop client, select Contacts, press the plus sign, and enter in an email, then select Add Contact.",https://support.zoom.us/hc/en-us/articles/115004055706-Managing-contacts
57,How can I change my status on Zoom,I want to change my status in Zoom,"In the Zoom desktop client select your profile picture, then click your status.",https://support.zoom.us/hc/en-us/articles/360032554051-Presence-status
58,How can I see my Zoom encryption algorithm,I want to see my Zoom encryption algorithm,"In the Zoom desktop client, under your profile picture, select settings, and select the statistics tab.",https://support.zoom.us/hc/en-us/articles/201362723-Encryption-for-meetings
59,How much memory is Zoom using,Zoom memory usage,"In the Zoom desktop client, under your profile picture, select settings, and select the statistics tab.",https://support.zoom.us/hc/en-us/articles/201362023-System-requirements-for-Windows-macOS-and-Linux
60,Why is my Zoom choppy,Zoom is choppy,Poor WiFi connectivity leads to a slow Zoom meeting,https://support.zoom.us/hc/en-us/articles/201362463-Wireless-WiFi-Connection-Issues
61,What bandwidth do I need for video conferencing,Video conferencing bandwidth,The minimum bandwidth required for video conferencing that's effective is 8Mbps for downloading and 1.5 Mbps for uploading.,https://www.freeconference.com/blog/the-minimum-speed-required-for-video-conferencing/
62,How many people can participate in a Zoom,Zoom maximum participants,Zoom participants depends on your subscription plan.,https://zoom.us/pricing
63,What is a Zoom webinar,Zoom webinar,"Zoom Video Webinar allows you to broadcast a Zoom meeting to up to 10,000 view-only attendees, depending on the size of your webinar license. ... Webinars can be held once, can reoccur in a series, or can be the same session held multiple times.",https://support.zoom.us/hc/en-us/articles/200917029-Getting-started-with-webinar
64,Can I use Zoom without a camera,I want to use Zoom without a camera,"While you are not required to have a webcam to join a Zoom Meeting or Webinar, you will not be able to transmit video of yourself.",https://support.zoom.us/hc/en-us/articles/206175806-Frequently-asked-questions
65,Can I use Zoom without a microphone,I want to use Zoom without a microphone,"Yes, you can attend a Zoom meeting without a microphone",https://www.diyvideostudio.com/do-i-need-a-camera-and-microphone-to-use-zoom/
66,What are some free platforms for online conferences,Free applications for online meetings,"GoToMeeting, Cisco Webex, TeamViewer, Skype, Join.Me, Zoom, Apache OpenMeeting, Google Hangouts",https://getvoip.com/blog/2016/11/21/free-web-conferencing/
67,How to use virtual backgrounds in Google Meet,I want virtual backgrounds in Google Meet,"Before a video call: Go to Google Meet, select a meeting > Change Background (bottom right of self view) > Join Now. During a video call: click More (three vertical dots at the bottom) > Change Background.",https://support.google.com/meet/answer/10058482?co=GENIE.Platform%3DDesktop&hl=en
68,Does Google Meet have reactions,I want to react in Google Meet,"You can't do that at this moment, but you can try by installing extensions from Chrome Web Store",https://chrome.google.com/webstore/detail/reactions-for-google-meet/hicfolagolebmjahkldfohbmphcoddoh?hl=en
69,Where to change sound settings in Google Meet,I want to change the volume in Google Meet,"Go to https://meet.google.com/ (before a meeting) or select More (during a meeting), select Settings > Audio > Microphone or Speakers > Test (optional) > Done",https://support.google.com/meet/answer/9302964?co=GENIE.Platform%3DAndroid&hl=en
70,How to enter a Google Meet meeting with a different email,I keep entering Google Meet with the same email address,"Click on the profile picture in the Google Meet tab, choose the account you want to switch too and Add An Account if it's not there",https://www.youtube.com/watch?v=5nm1Za8ON_Y
