n,query,,answer,source
60,How do I change my network password?,,"Use an internet browser on Mac or PC to open your router's configuration page by typing in your router's default IP address (often written along the underside of the router). Then log into your router using its username and password (often found along the underside of the router or from the router's manufacturer or your internet service provider). Click on the ""Wireless"" or ""Wireless Security"" option. Then, in the ""Wi-Fi Password"" or ""Key"" box, type in the password you want to set. Scroll down and click ""Save.""",https://www.businessinsider.com/how-to-change-wifi-password
61,How do I change the name of my network?,,"Use an internet browser on Mac or PC to open your router's configuration page by typing in your router's default IP address (often written along the underside of the router). Then log into your router using its username and password (often found along the underside of the router or from the router's manufacturer or your internet service provider). Click on the ""Wireless"" or ""Wireless Security"" option. Then, in the ""Wi-Fi Network Name"" or ""SSID"" box, type in the WiFi name you want to set. Scroll down and click ""Save.""",https://www.businessinsider.com/how-to-change-wifi-password
62,What internet service provider should I use?,,"Common internet service providers include Xfinity, AT&T Internet, Verizon, Spectrum, CenturyLink, Frontier, Cox, Suddenlink, Sparklight, Mediacom, Windstream, WOW, Optimum, Earthlink, Rise Broadband, Consolodated Communications, TDS Telecom, Google Fiber, HughesNet, and Viasat",https://www.practicalecommerce.com/20-Top-Internet-Service-Providers
63,Does an Ethernet cord make a faster internet connection than Wi-Fi?,,"Yes, an Ethernet cord will provide you with a faster, more consistent internet connection. Ethernet connections can reach speeds of up to 10 Gb/s and even the most common Ethernet cord provides a consistent internet speed of up to 1 Gb/s. Most WiFi connections have maximum speeds of 866.7 Mb/s or 150 Mb/s (based on 802.11ac or 802.11n standards, respectively).",https://www.howtogeek.com/217463/wi-fi-vs.-ethernet-how-much-better-is-a-wired-connection/
64,What are the advantages of using an Ethernet connection?,,"Ethernet connections will allow for faster internet speeds than Wi-Fi connections. Additionally, Wi-Fi signals may experience interference and drop at times. Ethernet connections will allow for consistent internet access.",https://www.howtogeek.com/217463/wi-fi-vs.-ethernet-how-much-better-is-a-wired-connection/
65,What is an Ethernet connection?,,Ethernet cables allow you to physically connect a device to a network. This allows for faster internet speeds and more reliable connectivity.,"https://www.comms-express.com/blog/what-does-an-ethernet-cable-do/#:~:text=Ethernet%20is%20a%20way%20of,devices%20in%20a%20physical%20space.&text=Ethernet%20cables%20are%20a%20type,internet%20and%20network%2Denabled%20devices."
66,What is a VPN?,,"A VPN (Virtual Private Network) allows you to preserve online privacy and anonymity by creating a private network from a public internet connection. VPNs create a data tunnel between your local network and an exit node in another location, which could be thousands of miles away, making it seem as if you’re in another place. They also encrypt your data.",https://us.norton.com/internetsecurity-privacy-what-is-a-vpn.html
67,What is an IP address?,,"An IP address is a unique address that identifies a device on the internet or a local network. IP stands for ""Internet Protocol,"" which is the set of rules governing the format of data sent via the internet or local network. IP addresses contain location information and make devices accessible for communication.",https://www.kaspersky.com/resource-center/definitions/what-is-an-ip-address
68,What is a router?,,Your modem is a box that connects your home network to the wider Internet. A router is a box that lets all of your wired and wireless devices use that Internet connection at once and also allows them to talk to one another without having to do so over the Internet.,https://www.nytimes.com/wirecutter/blog/modem-vs-router/
69,What is a modem?,,Your modem is a box that connects your home network to the wider Internet. A router is a box that lets all of your wired and wireless devices use that Internet connection at once and also allows them to talk to one another without having to do so over the Internet.,https://www.nytimes.com/wirecutter/blog/modem-vs-router/
70,What do I need to set up Wi-Fi in my house?,,"In order to set up Wi-Fi in your house, you will need to select an internet service provider, modem, router, Ethernet cables, and surge protectors/extension cords.",https://www.mymove.com/broadband/guides/wifi-for-home-move/
71,Does a hotspot use cellular data?,,"Some cell carriers will simply count your hotspot data use against your cell phone plan's overall data limit.  Alternatively, many plans include a limited amount of designated high-speed hotspot data that isn't counted against your overall data. Usually, this applies to unlimited plans offered by the major carriers. You might see hotspot data limits ranging anywhere between 20GB to 100GB per month. Once you hit your limit, your hotspot data speeds will be slowed. In either scenario, your mobile hotspot doesn't cost any extra unless your plan has a data cap. If your hotspot usage puts you over your monthly data limit, you'll pay for the extra data you use.","https://www.whistleout.com/CellPhones/Guides/How-Much-Data-Does-Hotspot-Use#:~:text=as%20a%20hotspot.-,How%20Much%20Data%20Do%20Hotspots%20Use%3F,doing%20on%20your%20other%20devices."
72,Does having Bluetooth on drain my laptop's battery?,,Bluetooth only uses your device's battery when it is actively being used.,"https://chipolo.net/en-us/blogs/bluetooth-drains-your-phone-battery-myth-or-fact#:~:text=This%20widespread%20misinterpretation%20has%20a,it%20is%20being%20actively%20used."
73,How fast should my internet be if I'm working online?,,You should have at least 10 Mbps of download speed and 1 Mbps of upload speed of dedicated internet bandwidth for each person working from home.,"https://www.highspeedinternet.com/resources/how-much-internet-speed-to-work-from-home#:~:text=What%20is%20a%20good%20internet,the%20same%20time%20without%20interruptions."
74,How do I check my internet speed?,,"Google ""check my internet speed.""
Google will check your internet speed in under 30 seconds through Measurement Lab.",https://www.google.com/search?q=check+my+internet+speed&ei=bSmwYIKpNK2F9PwP8KKvEA&oq=check+my+internet+speed&gs_lcp=Cgdnd3Mtd2l6EAMyBAgAEEMyAggAMgIIADICCAAyAggAMgIIADICCAAyAggAMgIIADICCAA6CAguEMcBEKMCOgUIABCxAzoLCC4QsQMQxwEQowI6CAgAELEDEIMBOgIILjoFCAAQyQM6BwgAELEDEEM6BQgAEJIDOgUIABCRAlCMPliSVWDbVWgAcAJ4AIABc4gBhw-SAQQyMi4xmAEAoAEBqgEHZ3dzLXdpesABAQ&sclient=gws-wiz&ved=0ahUKEwjCk6KhgOvwAhWtAp0JHXDRCwIQ4dUDCA4&uact=5
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
