n,query,,answer,source
72,How do I change or reset my password for Skype?,,"Sign into your account.
Select the change password link.
We'll take you through the process of changing your password.",https://support.skype.com/en/faq/fa95/how-do-i-change-or-reset-my-password-for-skype
73,,,,
74,,,,
75,I need to create a password,How do I create a strong password ?,"The key aspects of a strong password are length (the longer the better); a mix of letters (upper and lower case), numbers, and symbols, no ties to your personal information, and no dictionary words.","https://www.webroot.com/us/en/resources/tips-articles/how-do-i-create-a-strong-password#:~:text=The%20key%20aspects%20of%20a,information%2C%20and%20no%20dictionary%20words."
76,Change passwords,Do I really need to change my password often?,"At least once every 60-90 days, if not more. Be sure you’re using tools like multi-factor authentication and a password manager to beef up your password security","https://www.keepersecurity.com/blog/2020/12/21/how-often-should-you-change-your-password-keeper-security/#:~:text=their%20passwords%20frequently.-,How%20often%20should%20you%20require%20users%20to%20change%20their%20passwords,beef%20up%20your%20password%20security.&text=Creating%20a%20secure%20password%20is,control%20of%20your%20password%20security."
77,password manager,What are the most popular password managers ?,"The four most popular Password managers are LastPass, KeePassX, dashlane, 1Password",https://www.everplans.com/articles/the-four-most-popular-password-managers
78,Security questions,What security question should I pick ?,"Any security questions presented to users to reset forgotten passwords must meet the following characteristics:
 1) Memorable: The user must be able to recall the answer to the question, potentially years after creating their account.
 2) Consistent: The answer to the question must not change over time.
 3) Applicable: The user must be able to answer the question.
 4) Confidential: The answer to the question must be hard for an attacker to obtain.
 5) Specific: The answer should be clear to the user.",https://cheatsheetseries.owasp.org/cheatsheets/Choosing_and_Using_Security_Questions_Cheat_Sheet.html
79,Same password over multiple accounts,Should I pick up a random password for multiple accounts ?,"In addition to the risks of exposing your password to malware on your own machine, using the same password everywhere puts you at the mercy of the service with the worst security. Hackers take passwords, email addresses, and user names they discover and try to sign in with them at other online services, which works surprisingly often. Different passwords for everything prevents it.",https://askleo.com/different-passwords-for-everything/
80,Apple ID password recovery,How do I reset my login password using my Apple ID?,"If you associated your user account with your Apple ID, you can use your Apple ID to reset your login password.
 1. On your Mac, choose Apple menu > Restart, or press the Power button on your computer and then click Restart.
 2. Click your user account, click the question mark in the password field, then click the arrow next to “reset it using your Apple ID.”
 3. Enter an Apple ID and password, then click Next.
 4. Follow the instructions to reset your login password.",https://support.apple.com/guide/mac-help/reset-your-mac-login-password-mh35902/mac\
81,Appple password recovery using recovery key,How do I reset my login password using a recovery key?,"If you turned on FileVault encryption and created a recovery key, you can use the recovery key to reset your login password.
 1. On your Mac, choose Apple menu > Restart, or press the Power button on your computer and then click Restart.
 2. Click your user account, click the question mark in the password field, then click the arrow next to “reset it using your recovery key.”
 3. Enter the recovery key, then click Next.
 4. Follow the instructions to reset your login password.",https://support.apple.com/guide/mac-help/reset-your-mac-login-password-mh35902/mac
82,Apple passord reset another user,"On Mac, how do I reset the password of another user?","An administrator can reset the passwords of other users.
 1. On your Mac, choose Apple menu > System Preferences, then click Users & Groups.
 2. If the lock at the bottom left is locked , click it to unlock the preference pane.
 3. Select a user, then click Reset Password.",https://support.apple.com/guide/mac-help/reset-your-mac-login-password-mh35902/mac
83,Windows password recovery for Windows 10 version 1803 and later,How do I recover my password for Windows 10 version 1803 and later ?,"1. Select the Reset password link on the sign-in screen. If you use a PIN instead, see PIN sign-in issues. If you're using a work device that's on a network, you may not see an option to reset your password or PIN. In that case, contact your administrator.
 2. Answer your security questions.
 3. Enter a new password.
 4. Sign in as usual with the new password.",https://support.microsoft.com/en-us/windows/change-or-reset-your-windows-password-8271d17c-9f9e-443f-835a-8318c8f68b9c
84,Windows password recovery for Windows 10 before version 1803,How do I recover my password for Windows 10 before version 1803 ?,"1. Press the Shift key while you select the Power button > Restart in the lower-right corner of the screen.
 2. On the Choose an option screen, select Troubleshoot > Reset this PC.
 3. Select Remove everything.",https://support.microsoft.com/en-us/windows/change-or-reset-your-windows-password-8271d17c-9f9e-443f-835a-8318c8f68b9c
85,Password change Zoom,How do I change the password for Zoom ?,"1. Sign in to the Zoom web portal.
 2. Click Profile.
 3. Scroll down to Sign In Password, Click Edit on the right.
 4. Enter your Old Password.
 5. Enter your New Password, then enter it a second time to confirm.
 Note: Make sure your password meets the requirements.
 6. Click Save Changes.",https://support.zoom.us/hc/en-us/articles/115005166483-Managing-your-password
86,Adding password login to Google or Facebook login,How do I add password login to Google or Facebook login on Zoom?,"1. Sign out of your existing Zoom account. 
 2. Go to zoom.us/signup.
 3. Enter your date of birth for verification.
 4. Enter in the email address that matches your Google, SSO, or Facebook login.
 5. Click Sign Up.
 6. You will receive an email with Sign Up instructions. Click to Activate Account.
 7. Enter your desired password twice.
 Note: Make sure your password meets the requirements.
 8. Click Continue.
 9. You can enter in email addresses of contacts to invite, or choose Skip this Step.
 10. Click Go to My Account.
 11. This will take you to My Profile of the existing Zoom account. It should now show the Google, Facebook, and/or SSO icon that displayed previously, as well as an email icon to indicate that you can login with email address and password.",https://support.zoom.us/hc/en-us/articles/115005166483-Managing-your-password
87,password manager,Where can I store all my passwords to use later ?,"The majority of people use very weak passwords and reuse them on different websites. How are you supposed to use strong, unique passwords on all the websites you use? The solution is a password manager.
 Password managers store your login information for all the websites you use and help you log into them automatically. They encrypt your password database with a master password — the master password is the only one you have to remember.",https://www.howtogeek.com/141500/why-you-should-use-a-password-manager-and-how-to-get-started/
88,Google's Password Manager,Should I use Google's Password Manager ?,"Google Password Manager does all the entry-level jobs of a traditional password manager, i.e., saving passwords and autofill info.
 But the best thing about this free tool of Google is the ease of work it offers. You’re not required to download any app or browser extension or even create an additional account for it.",https://loginlockdown.com/reviews/google-chrome-password-manager/
89,Service Hacked,What should I do when a service I use has been hacked ?,"‘Have I Been Pwned?’ is one of the best tools for checking your email accounts’ safety. You should go to the website and enter each of your email addresses. The site will check if your account has ever been part of a data breach or if your account details have been pasted to the public online. If either of those things is true, you know the account is more at risk.
 You should secure any accounts that are at risk. Use a password generator and password manager, and be sure not to open suspicious emails. It would help if you were vigilant for any suspicious activity on your email account. If you use the same password as the email account anywhere else, change it immediately.",https://hacked.com/how-to-check-if-youve-been-hacked/
90,Password written down on paper,Should I write down my passwords on paper ?,"Yes, it’s true writing down all your passwords on paper and keeping that hidden in your home is more secure than a password manager. But that does not mean it’s better. People who write down passwords are more likely to reuse passwords. Password reuse is the worst thing you can do when it comes to passwords.If you used the same password for your bank as you do for some random site, the password is only as strong as the weakest link. If that no name site gets breached so can your bank account. The reason why it’s safe to write down your master password is due to the threat model. It’s less likely someone will break into your home and find your master password to your password manager.","https://passwordbits.com/write-passwords-down/#:~:text=Yes%2C%20it's%20true%20writing%20down,when%20it%20comes%20to%20passwords."
91,Password manager,Should I pay for my password manager ?,"Luckily for your budget, there’s no big correlation between fees and security here. When paying for a password manager, “you’re not really getting safer — you’re just getting more advanced features, more options,”",https://money.com/paid-password-manager-subscription/
92,,What should I do when my password is changed without my knowledge ?,,
93,Password Length,What is the recommended length for any password ?,Longer is better. Traditional eight-character passwords are now easily compromised. A password should be 12 characters at a minimum — ideally 16 or more. Using a multi-word passphrase makes even longer passwords possible and easy to remember.,"https://askleo.com/how_long_should_a_password_be/#:~:text=Traditional%20eight%2Dcharacter%20passwords%20are,possible%20and%20easy%20to%20remember."
94,Dropbox password email,What should you do If you get a password or email change notification but didn't reset it yourself?,"If you unexpectedly received a password or email change notification, first verify that the email really came from Dropbox. To be safe, don't click any links in the email—there's always a chance that the email is a fake, sent by phishers trying to access your Dropbox account.
 Instead, go to dropbox.com and see if you can sign in to your account using your original password. (You may need to sign out first if you're already signed in.)
 - If you can sign in, then your password was never changed, and you should ignore that (likely) fake email. Forward the entire email to abuse@dropbox.com and we'll investigate.
 - If you can't sign in, then you should go to the Dropbox Forgot your password? page and try to reset your Dropbox password as soon as possible. (Don't use a link in the email or any other source to reset your password.)",https://help.dropbox.com/accounts-billing/security/unauthorized-account-information-changed
95,LinkedIn password recovery,How to reset you LinkedIn password using an phone number ?,"You can reset your password on the Sign in page.
 1. Click the Forgot password?.
 2. Enter an email address or phone number you have on your account.
 3. We'll send a PIN number to your email.
 4. Input the PIN number into the appropriate fields on the page.",https://www.linkedin.com/help/linkedin/answer/1167/password-reset-basics?lang=en
